date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
26-01-2024,SKU019,20,255,19,205
26-01-2024,SKU051,588,1087,15,726
26-01-2024,SKU058,474,0,18,307
26-01-2024,SKU062,393,0,6,328
26-01-2024,SKU063,165,656,10,329
26-01-2024,SKU070,689,0,8,250
26-01-2024,SKU077,391,0,17,294
26-01-2024,SKU092,48,230,10,116
27-01-2024,SKU019,10,255,19,205
27-01-2024,SKU051,533,1087,15,726
27-01-2024,SKU058,455,0,18,307
27-01-2024,SKU062,365,0,6,328
27-01-2024,SKU063,140,656,10,329
27-01-2024,SKU070,654,0,8,250
27-01-2024,SKU077,373,0,17,294
27-01-2024,SKU092,37,230,10,116
28-01-2024,SKU019,251,0,19,205
28-01-2024,SKU051,495,1087,15,726
28-01-2024,SKU058,444,0,18,307
28-01-2024,SKU062,323,894,6,328
28-01-2024,SKU063,109,656,10,329
28-01-2024,SKU070,632,0,8,250
28-01-2024,SKU077,360,0,17,294
28-01-2024,SKU092,27,230,10,116
29-01-2024,SKU019,241,0,19,205
29-01-2024,SKU051,452,1087,15,726
29-01-2024,SKU058,429,0,18,307
29-01-2024,SKU062,291,894,6,328
29-01-2024,SKU063,87,656,10,329
29-01-2024,SKU070,612,0,8,250
29-01-2024,SKU077,347,0,17,294
29-01-2024,SKU092,248,0,10,116
30-01-2024,SKU019,232,0,19,205
30-01-2024,SKU051,406,1087,15,726
30-01-2024,SKU058,417,0,18,307
30-01-2024,SKU062,256,894,6,328
30-01-2024,SKU063,716,0,10,329
30-01-2024,SKU070,587,0,8,250
30-01-2024,SKU077,331,0,17,294
30-01-2024,SKU092,241,0,10,116
31-01-2024,SKU019,222,0,19,205
31-01-2024,SKU051,364,1087,15,726
31-01-2024,SKU058,401,0,18,307
31-01-2024,SKU062,230,894,6,328
31-01-2024,SKU063,694,0,10,329
31-01-2024,SKU070,563,0,8,250
31-01-2024,SKU077,319,0,17,294
31-01-2024,SKU092,232,0,10,116
01-02-2024,SKU019,212,0,19,205
01-02-2024,SKU051,321,1087,15,726
01-02-2024,SKU058,385,0,18,307
01-02-2024,SKU062,197,894,6,328
01-02-2024,SKU063,669,0,10,329
01-02-2024,SKU070,543,0,8,250
01-02-2024,SKU077,306,0,17,294
01-02-2024,SKU092,225,0,10,116
02-02-2024,SKU019,200,255,19,205
02-02-2024,SKU051,275,1087,15,726
02-02-2024,SKU058,372,0,18,307
02-02-2024,SKU062,170,894,6,328
02-02-2024,SKU063,652,0,10,329
02-02-2024,SKU070,519,0,8,250
02-02-2024,SKU077,292,400,17,294
02-02-2024,SKU092,218,0,10,116
02-02-2024,SKU094,525,0,18,290
03-02-2024,SKU019,190,255,19,205
03-02-2024,SKU051,221,1087,15,726
03-02-2024,SKU058,356,0,18,307
03-02-2024,SKU062,1019,0,6,328
03-02-2024,SKU063,629,0,10,329
03-02-2024,SKU070,496,0,8,250
03-02-2024,SKU077,272,400,17,294
03-02-2024,SKU092,208,0,10,116
03-02-2024,SKU094,514,0,18,290
04-02-2024,SKU019,177,255,19,205
04-02-2024,SKU051,175,1087,15,726
04-02-2024,SKU058,336,0,18,307
04-02-2024,SKU062,980,0,6,328
04-02-2024,SKU063,604,0,10,329
04-02-2024,SKU070,462,0,8,250
04-02-2024,SKU077,255,400,17,294
04-02-2024,SKU092,199,0,10,116
04-02-2024,SKU094,502,0,18,290
05-02-2024,SKU019,169,255,19,205
05-02-2024,SKU029,284,0,15,166
05-02-2024,SKU051,130,1087,15,726
05-02-2024,SKU058,322,0,18,307
05-02-2024,SKU062,945,0,6,328
05-02-2024,SKU063,578,0,10,329
05-02-2024,SKU070,442,0,8,250
05-02-2024,SKU077,244,400,17,294
05-02-2024,SKU092,190,0,10,116
05-02-2024,SKU094,485,0,18,290
06-02-2024,SKU019,158,255,19,205
06-02-2024,SKU029,275,0,15,166
06-02-2024,SKU051,91,1087,15,726
06-02-2024,SKU058,305,399,18,307
06-02-2024,SKU062,916,0,6,328
06-02-2024,SKU063,555,0,10,329
06-02-2024,SKU070,419,0,8,250
06-02-2024,SKU077,233,400,17,294
06-02-2024,SKU092,183,0,10,116
06-02-2024,SKU094,471,0,18,290
07-02-2024,SKU019,151,255,19,205
07-02-2024,SKU029,267,0,15,166
07-02-2024,SKU051,1138,0,15,726
07-02-2024,SKU058,289,399,18,307
07-02-2024,SKU062,891,0,6,328
07-02-2024,SKU063,539,0,10,329
07-02-2024,SKU070,400,0,8,250
07-02-2024,SKU077,218,400,17,294
07-02-2024,SKU092,177,0,10,116
07-02-2024,SKU094,454,0,18,290
08-02-2024,SKU019,141,255,19,205
08-02-2024,SKU029,259,0,15,166
08-02-2024,SKU051,1104,0,15,726
08-02-2024,SKU058,273,399,18,307
08-02-2024,SKU062,857,0,6,328
08-02-2024,SKU063,512,0,10,329
08-02-2024,SKU070,379,0,8,250
08-02-2024,SKU077,203,400,17,294
08-02-2024,SKU092,169,0,10,116
08-02-2024,SKU094,441,0,18,290
09-02-2024,SKU019,129,255,19,205
09-02-2024,SKU029,251,0,15,166
09-02-2024,SKU051,1066,0,15,726
09-02-2024,SKU058,259,399,18,307
09-02-2024,SKU062,822,0,6,328
09-02-2024,SKU063,486,0,10,329
09-02-2024,SKU070,359,0,8,250
09-02-2024,SKU077,184,400,17,294
09-02-2024,SKU092,164,0,10,116
09-02-2024,SKU094,428,0,18,290
10-02-2024,SKU018,367,0,12,264
10-02-2024,SKU019,118,255,19,205
10-02-2024,SKU029,242,0,15,166
10-02-2024,SKU051,1010,0,15,726
10-02-2024,SKU058,240,399,18,307
10-02-2024,SKU062,786,0,6,328
10-02-2024,SKU063,450,0,10,329
10-02-2024,SKU070,332,0,8,250
10-02-2024,SKU077,170,400,17,294
10-02-2024,SKU092,155,0,10,116
10-02-2024,SKU094,413,0,18,290
11-02-2024,SKU018,349,0,12,264
11-02-2024,SKU019,107,255,19,205
11-02-2024,SKU029,231,0,15,166
11-02-2024,SKU051,969,0,15,726
11-02-2024,SKU058,222,399,18,307
11-02-2024,SKU062,746,0,6,328
11-02-2024,SKU063,427,0,10,329
11-02-2024,SKU070,314,0,8,250
11-02-2024,SKU077,154,400,17,294
11-02-2024,SKU092,145,0,10,116
11-02-2024,SKU094,399,0,18,290
12-02-2024,SKU018,332,0,12,264
12-02-2024,SKU019,98,255,19,205
12-02-2024,SKU029,223,0,15,166
12-02-2024,SKU051,928,0,15,726
12-02-2024,SKU058,206,399,18,307
12-02-2024,SKU062,714,0,6,328
12-02-2024,SKU063,403,0,10,329
12-02-2024,SKU070,297,0,8,250
12-02-2024,SKU077,142,400,17,294
12-02-2024,SKU092,137,0,10,116
12-02-2024,SKU094,386,0,18,290
13-02-2024,SKU018,322,0,12,264
13-02-2024,SKU019,87,255,19,205
13-02-2024,SKU029,212,0,15,166
13-02-2024,SKU051,887,0,15,726
13-02-2024,SKU058,191,399,18,307
13-02-2024,SKU062,675,0,6,328
13-02-2024,SKU063,378,0,10,329
13-02-2024,SKU070,272,0,8,250
13-02-2024,SKU077,129,400,17,294
13-02-2024,SKU092,127,0,10,116
13-02-2024,SKU094,373,0,18,290
14-02-2024,SKU018,305,0,12,264
14-02-2024,SKU019,79,255,19,205
14-02-2024,SKU029,203,0,15,166
14-02-2024,SKU051,841,0,15,726
14-02-2024,SKU058,179,399,18,307
14-02-2024,SKU062,652,0,6,328
14-02-2024,SKU063,356,0,10,329
14-02-2024,SKU070,250,576,8,250
14-02-2024,SKU077,114,400,17,294
14-02-2024,SKU092,117,0,10,116
14-02-2024,SKU094,355,0,18,290
15-02-2024,SKU018,289,0,12,264
15-02-2024,SKU019,68,255,19,205
15-02-2024,SKU029,193,0,15,166
15-02-2024,SKU051,811,0,15,726
15-02-2024,SKU058,161,399,18,307
15-02-2024,SKU062,612,0,6,328
15-02-2024,SKU063,337,0,10,329
15-02-2024,SKU070,226,576,8,250
15-02-2024,SKU077,99,400,17,294
15-02-2024,SKU092,107,230,10,116
15-02-2024,SKU094,343,0,18,290
16-02-2024,SKU018,270,0,12,264
16-02-2024,SKU019,61,255,19,205
16-02-2024,SKU029,185,0,15,166
16-02-2024,SKU051,764,0,15,726
16-02-2024,SKU058,144,399,18,307
16-02-2024,SKU062,579,0,6,328
16-02-2024,SKU063,317,656,10,329
16-02-2024,SKU070,206,576,8,250
16-02-2024,SKU077,85,400,17,294
16-02-2024,SKU078,735,0,8,249
16-02-2024,SKU092,98,230,10,116
16-02-2024,SKU094,329,0,18,290
17-02-2024,SKU018,248,463,12,264
17-02-2024,SKU019,48,255,19,205
17-02-2024,SKU029,175,0,15,166
17-02-2024,SKU051,718,1087,15,726
17-02-2024,SKU058,122,399,18,307
17-02-2024,SKU062,544,0,6,328
17-02-2024,SKU063,286,656,10,329
17-02-2024,SKU070,181,576,8,250
17-02-2024,SKU077,63,400,17,294
17-02-2024,SKU078,702,0,8,249
17-02-2024,SKU083,883,0,20,828
17-02-2024,SKU092,88,230,10,116
17-02-2024,SKU094,317,0,18,290
18-02-2024,SKU018,227,463,12,264
18-02-2024,SKU019,38,255,19,205
18-02-2024,SKU029,164,247,15,166
18-02-2024,SKU051,674,1087,15,726
18-02-2024,SKU058,103,399,18,307
18-02-2024,SKU062,501,0,6,328
18-02-2024,SKU063,255,656,10,329
18-02-2024,SKU070,158,576,8,250
18-02-2024,SKU077,49,400,17,294
18-02-2024,SKU078,669,0,8,249
18-02-2024,SKU083,839,0,20,828
18-02-2024,SKU092,78,230,10,116
18-02-2024,SKU094,296,0,18,290
19-02-2024,SKU018,211,463,12,264
19-02-2024,SKU019,30,255,19,205
19-02-2024,SKU029,152,247,15,166
19-02-2024,SKU051,636,1087,15,726
19-02-2024,SKU058,90,399,18,307
19-02-2024,SKU062,469,0,6,328
19-02-2024,SKU063,232,656,10,329
19-02-2024,SKU070,135,576,8,250
19-02-2024,SKU077,429,0,17,294
19-02-2024,SKU078,648,0,8,249
19-02-2024,SKU083,805,993,20,828
19-02-2024,SKU092,69,230,10,116
19-02-2024,SKU094,282,378,18,290
20-02-2024,SKU018,197,463,12,264
20-02-2024,SKU019,21,255,19,205
20-02-2024,SKU029,143,247,15,166
20-02-2024,SKU051,593,1087,15,726
20-02-2024,SKU058,77,399,18,307
20-02-2024,SKU062,435,0,6,328
20-02-2024,SKU063,203,656,10,329
20-02-2024,SKU070,115,576,8,250
20-02-2024,SKU077,415,0,17,294
20-02-2024,SKU078,633,0,8,249
20-02-2024,SKU083,768,993,20,828
20-02-2024,SKU092,59,230,10,116
20-02-2024,SKU094,274,378,18,290
21-02-2024,SKU018,179,463,12,264
21-02-2024,SKU019,264,0,19,205
21-02-2024,SKU029,135,247,15,166
21-02-2024,SKU051,554,1087,15,726
21-02-2024,SKU058,62,399,18,307
21-02-2024,SKU062,405,0,6,328
21-02-2024,SKU063,181,656,10,329
21-02-2024,SKU070,94,576,8,250
21-02-2024,SKU077,403,0,17,294
21-02-2024,SKU078,610,0,8,249
21-02-2024,SKU083,743,993,20,828
21-02-2024,SKU092,53,230,10,116
21-02-2024,SKU094,258,378,18,290
22-02-2024,SKU017,709,0,12,318
22-02-2024,SKU018,162,463,12,264
22-02-2024,SKU019,256,0,19,205
22-02-2024,SKU029,127,247,15,166
22-02-2024,SKU051,512,1087,15,726
22-02-2024,SKU058,48,399,18,307
22-02-2024,SKU062,370,0,6,328
22-02-2024,SKU063,159,656,10,329
22-02-2024,SKU070,642,0,8,250
22-02-2024,SKU077,391,0,17,294
22-02-2024,SKU078,593,0,8,249
22-02-2024,SKU083,715,993,20,828
22-02-2024,SKU092,44,230,10,116
22-02-2024,SKU094,242,378,18,290
23-02-2024,SKU017,689,0,12,318
23-02-2024,SKU018,144,463,12,264
23-02-2024,SKU019,245,0,19,205
23-02-2024,SKU029,118,247,15,166
23-02-2024,SKU051,477,1087,15,726
23-02-2024,SKU058,37,399,18,307
23-02-2024,SKU062,342,0,6,328
23-02-2024,SKU063,132,656,10,329
23-02-2024,SKU070,624,0,8,250
23-02-2024,SKU077,375,0,17,294
23-02-2024,SKU078,568,0,8,249
23-02-2024,SKU083,676,993,20,828
23-02-2024,SKU092,35,230,10,116
23-02-2024,SKU094,228,378,18,290
24-02-2024,SKU008,1021,0,6,390
24-02-2024,SKU017,661,0,12,318
24-02-2024,SKU018,121,463,12,264
24-02-2024,SKU019,234,0,19,205
24-02-2024,SKU029,106,247,15,166
24-02-2024,SKU051,435,1087,15,726
24-02-2024,SKU058,421,0,18,307
24-02-2024,SKU062,304,894,6,328
24-02-2024,SKU063,103,656,10,329
24-02-2024,SKU070,598,0,8,250
24-02-2024,SKU077,352,0,17,294
24-02-2024,SKU078,543,0,8,249
24-02-2024,SKU083,632,993,20,828
24-02-2024,SKU092,25,230,10,116
24-02-2024,SKU094,213,378,18,290
25-02-2024,SKU008,971,0,6,390
25-02-2024,SKU017,640,0,12,318
25-02-2024,SKU018,104,463,12,264
25-02-2024,SKU019,223,0,19,205
25-02-2024,SKU029,96,247,15,166
25-02-2024,SKU051,384,1087,15,726
25-02-2024,SKU058,402,0,18,307
25-02-2024,SKU062,261,894,6,328
25-02-2024,SKU063,74,656,10,329
25-02-2024,SKU070,564,0,8,250
25-02-2024,SKU077,337,0,17,294
25-02-2024,SKU078,518,0,8,249
25-02-2024,SKU083,577,993,20,828
25-02-2024,SKU092,246,0,10,116
25-02-2024,SKU094,192,378,18,290
26-02-2024,SKU008,942,0,6,390
26-02-2024,SKU017,620,0,12,318
26-02-2024,SKU018,86,463,12,264
26-02-2024,SKU019,215,0,19,205
26-02-2024,SKU029,85,247,15,166
26-02-2024,SKU051,347,1087,15,726
26-02-2024,SKU058,383,0,18,307
26-02-2024,SKU062,237,894,6,328
26-02-2024,SKU063,709,0,10,329
26-02-2024,SKU070,544,0,8,250
26-02-2024,SKU077,322,0,17,294
26-02-2024,SKU078,499,0,8,249
26-02-2024,SKU083,544,993,20,828
26-02-2024,SKU092,237,0,10,116
26-02-2024,SKU094,178,378,18,290
27-02-2024,SKU008,897,0,6,390
27-02-2024,SKU017,600,0,12,318
27-02-2024,SKU018,72,463,12,264
27-02-2024,SKU019,205,255,19,205
27-02-2024,SKU029,78,247,15,166
27-02-2024,SKU051,300,1087,15,726
27-02-2024,SKU058,372,0,18,307
27-02-2024,SKU062,195,894,6,328
27-02-2024,SKU063,683,0,10,329
27-02-2024,SKU070,527,0,8,250
27-02-2024,SKU077,311,0,17,294
27-02-2024,SKU078,477,0,8,249
27-02-2024,SKU080,217,0,12,135
27-02-2024,SKU083,511,993,20,828
27-02-2024,SKU092,228,0,10,116
27-02-2024,SKU094,163,378,18,290
28-02-2024,SKU006,580,0,13,248
28-02-2024,SKU008,861,0,6,390
28-02-2024,SKU017,581,0,12,318
28-02-2024,SKU018,53,463,12,264
28-02-2024,SKU019,198,255,19,205
28-02-2024,SKU029,70,247,15,166
28-02-2024,SKU051,257,1087,15,726
28-02-2024,SKU058,356,0,18,307
28-02-2024,SKU062,163,894,6,328
28-02-2024,SKU063,660,0,10,329
28-02-2024,SKU070,507,0,8,250
28-02-2024,SKU077,294,400,17,294
28-02-2024,SKU078,455,0,8,249
28-02-2024,SKU080,207,0,12,135
28-02-2024,SKU083,472,993,20,828
28-02-2024,SKU092,219,0,10,116
28-02-2024,SKU094,150,378,18,290
29-02-2024,SKU006,564,0,13,248
29-02-2024,SKU008,823,0,6,390
29-02-2024,SKU017,563,0,12,318
29-02-2024,SKU018,499,0,12,264
29-02-2024,SKU019,189,255,19,205
29-02-2024,SKU029,62,247,15,166
29-02-2024,SKU051,216,1087,15,726
29-02-2024,SKU058,339,0,18,307
29-02-2024,SKU062,133,894,6,328
29-02-2024,SKU063,630,0,10,329
29-02-2024,SKU070,490,0,8,250
29-02-2024,SKU077,279,400,17,294
29-02-2024,SKU078,434,0,8,249
29-02-2024,SKU080,197,0,12,135
29-02-2024,SKU083,438,993,20,828
29-02-2024,SKU092,210,0,10,116
29-02-2024,SKU094,137,378,18,290
01-03-2024,SKU006,551,0,13,248
01-03-2024,SKU008,799,0,6,390
01-03-2024,SKU017,545,0,12,318
01-03-2024,SKU018,484,0,12,264
01-03-2024,SKU019,181,255,19,205
01-03-2024,SKU029,54,247,15,166
01-03-2024,SKU051,185,1087,15,726
01-03-2024,SKU058,323,0,18,307
01-03-2024,SKU062,999,0,6,328
01-03-2024,SKU063,606,0,10,329
01-03-2024,SKU070,473,0,8,250
01-03-2024,SKU077,266,400,17,294
01-03-2024,SKU078,419,0,8,249
01-03-2024,SKU080,189,0,12,135
01-03-2024,SKU083,401,993,20,828
01-03-2024,SKU092,201,0,10,116
01-03-2024,SKU094,125,378,18,290
02-03-2024,SKU006,538,0,13,248
02-03-2024,SKU008,753,0,6,390
02-03-2024,SKU017,532,0,12,318
02-03-2024,SKU018,464,0,12,264
02-03-2024,SKU019,170,255,19,205
02-03-2024,SKU029,45,247,15,166
02-03-2024,SKU051,144,1087,15,726
02-03-2024,SKU058,310,0,18,307
02-03-2024,SKU062,969,0,6,328
02-03-2024,SKU063,582,0,10,329
02-03-2024,SKU070,454,0,8,250
02-03-2024,SKU077,248,400,17,294
02-03-2024,SKU078,403,0,8,249
02-03-2024,SKU080,179,0,12,135
02-03-2024,SKU083,366,993,20,828
02-03-2024,SKU092,193,0,10,116
02-03-2024,SKU094,111,378,18,290
03-03-2024,SKU006,519,0,13,248
03-03-2024,SKU008,718,0,6,390
03-03-2024,SKU017,506,0,12,318
03-03-2024,SKU018,450,0,12,264
03-03-2024,SKU019,161,255,19,205
03-03-2024,SKU027,901,0,7,268
03-03-2024,SKU029,36,247,15,166
03-03-2024,SKU051,1185,0,15,726
03-03-2024,SKU058,294,399,18,307
03-03-2024,SKU062,930,0,6,328
03-03-2024,SKU063,555,0,10,329
03-03-2024,SKU070,435,0,8,250
03-03-2024,SKU077,238,400,17,294
03-03-2024,SKU078,384,0,8,249
03-03-2024,SKU080,169,0,12,135
03-03-2024,SKU083,325,993,20,828
03-03-2024,SKU092,183,0,10,116
03-03-2024,SKU094,98,378,18,290
04-03-2024,SKU006,504,0,13,248
04-03-2024,SKU008,675,0,6,390
04-03-2024,SKU017,493,0,12,318
04-03-2024,SKU018,440,0,12,264
04-03-2024,SKU019,153,255,19,205
04-03-2024,SKU027,877,0,7,268
04-03-2024,SKU029,277,0,15,166
04-03-2024,SKU051,1146,0,15,726
04-03-2024,SKU058,282,399,18,307
04-03-2024,SKU062,903,0,6,328
04-03-2024,SKU063,527,0,10,329
04-03-2024,SKU070,421,0,8,250
04-03-2024,SKU077,224,400,17,294
04-03-2024,SKU078,373,0,8,249
04-03-2024,SKU080,159,0,12,135
04-03-2024,SKU083,288,993,20,828
04-03-2024,SKU092,176,0,10,116
04-03-2024,SKU094,82,378,18,290
05-03-2024,SKU006,492,0,13,248
05-03-2024,SKU008,645,0,6,390
05-03-2024,SKU017,479,0,12,318
05-03-2024,SKU018,423,0,12,264
05-03-2024,SKU019,146,255,19,205
05-03-2024,SKU027,857,0,7,268
05-03-2024,SKU029,271,0,15,166
05-03-2024,SKU051,1102,0,15,726
05-03-2024,SKU058,269,399,18,307
05-03-2024,SKU062,868,0,6,328
05-03-2024,SKU063,509,0,10,329
05-03-2024,SKU070,399,0,8,250
05-03-2024,SKU077,215,400,17,294
05-03-2024,SKU078,352,0,8,249
05-03-2024,SKU080,152,0,12,135
05-03-2024,SKU083,251,993,20,828
05-03-2024,SKU092,168,0,10,116
05-03-2024,SKU094,71,378,18,290
06-03-2024,SKU006,478,0,13,248
06-03-2024,SKU008,607,0,6,390
06-03-2024,SKU017,459,0,12,318
06-03-2024,SKU018,405,0,12,264
06-03-2024,SKU019,138,255,19,205
06-03-2024,SKU027,836,0,7,268
06-03-2024,SKU029,263,0,15,166
06-03-2024,SKU051,1071,0,15,726
06-03-2024,SKU058,256,399,18,307
06-03-2024,SKU062,840,0,6,328
06-03-2024,SKU063,485,0,10,329
06-03-2024,SKU070,380,0,8,250
06-03-2024,SKU077,196,400,17,294
06-03-2024,SKU078,335,0,8,249
06-03-2024,SKU080,144,0,12,135
06-03-2024,SKU083,225,993,20,828
06-03-2024,SKU092,162,0,10,116
06-03-2024,SKU094,58,378,18,290
07-03-2024,SKU006,464,0,13,248
07-03-2024,SKU008,579,0,6,390
07-03-2024,SKU017,442,0,12,318
07-03-2024,SKU018,389,0,12,264
07-03-2024,SKU019,128,255,19,205
07-03-2024,SKU027,810,0,7,268
07-03-2024,SKU029,257,0,15,166
07-03-2024,SKU051,1038,0,15,726
07-03-2024,SKU058,240,399,18,307
07-03-2024,SKU062,815,0,6,328
07-03-2024,SKU063,464,0,10,329
07-03-2024,SKU070,363,0,8,250
07-03-2024,SKU077,184,400,17,294
07-03-2024,SKU078,314,0,8,249
07-03-2024,SKU080,140,0,12,135
07-03-2024,SKU083,189,993,20,828
07-03-2024,SKU092,154,0,10,116
07-03-2024,SKU094,42,378,18,290
08-03-2024,SKU006,453,0,13,248
08-03-2024,SKU008,549,0,6,390
08-03-2024,SKU017,424,0,12,318
08-03-2024,SKU018,374,0,12,264
08-03-2024,SKU019,118,255,19,205
08-03-2024,SKU027,790,0,7,268
08-03-2024,SKU029,248,0,15,166
08-03-2024,SKU051,1006,0,15,726
08-03-2024,SKU058,226,399,18,307
08-03-2024,SKU062,791,0,6,328
08-03-2024,SKU063,436,0,10,329
08-03-2024,SKU070,348,0,8,250
08-03-2024,SKU077,171,400,17,294
08-03-2024,SKU078,303,0,8,249
08-03-2024,SKU080,131,238,12,135
08-03-2024,SKU083,149,993,20,828
08-03-2024,SKU092,149,0,10,116
08-03-2024,SKU094,408,0,18,290
09-03-2024,SKU006,439,0,13,248
09-03-2024,SKU008,512,0,6,390
09-03-2024,SKU017,399,0,12,318
09-03-2024,SKU018,358,0,12,264
09-03-2024,SKU019,108,255,19,205
09-03-2024,SKU027,766,0,7,268
09-03-2024,SKU029,241,0,15,166
09-03-2024,SKU051,973,0,15,726
09-03-2024,SKU058,211,399,18,307
09-03-2024,SKU062,749,0,6,328
09-03-2024,SKU063,410,0,10,329
09-03-2024,SKU070,320,0,8,250
09-03-2024,SKU077,155,400,17,294
09-03-2024,SKU078,284,0,8,249
09-03-2024,SKU080,122,238,12,135
09-03-2024,SKU083,121,993,20,828
09-03-2024,SKU092,139,0,10,116
09-03-2024,SKU094,394,0,18,290
10-03-2024,SKU006,427,0,13,248
10-03-2024,SKU008,475,0,6,390
10-03-2024,SKU017,381,0,12,318
10-03-2024,SKU018,340,0,12,264
10-03-2024,SKU019,97,255,19,205
10-03-2024,SKU027,746,0,7,268
10-03-2024,SKU029,234,0,15,166
10-03-2024,SKU051,919,0,15,726
10-03-2024,SKU058,197,399,18,307
10-03-2024,SKU062,710,0,6,328
10-03-2024,SKU063,385,0,10,329
10-03-2024,SKU070,296,0,8,250
10-03-2024,SKU077,138,400,17,294
10-03-2024,SKU078,258,0,8,249
10-03-2024,SKU080,112,238,12,135
10-03-2024,SKU083,1077,0,20,828
10-03-2024,SKU092,129,0,10,116
10-03-2024,SKU094,380,0,18,290
11-03-2024,SKU006,417,0,13,248
11-03-2024,SKU008,446,0,6,390
11-03-2024,SKU017,367,0,12,318
11-03-2024,SKU018,326,0,12,264
11-03-2024,SKU019,87,255,19,205
11-03-2024,SKU027,719,0,7,268
11-03-2024,SKU029,226,0,15,166
