date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point,forecast_4_week_demand,average_weekly_forecast,available_inventory,lead_time_weeks,lead_time_demand,safety_stock,stockout_threshold,inventory_surplus,stockout_gap,overstock_units,stockout_risk_score,overstock_risk_score,stockout_risk,overstock_risk,action,reorder_units,markdown_units,stockout_value_at_stake,overstock_value_at_stake,value_at_stake
12-12-2025,SKU011,25,67394,2695.76,0,Kitchen,Cookware,05-12-2024,1432.82,2743.76,50,12,Winter,0,,701,0,18,663,668,167,701,2.571428571,429.4285714,663,1092.428571,33,391.4285714,33,35.83104485,4.94011976,Medium,Low,Watch / Volatile,391,33,560232.62,47283.06,0
12-12-2025,SKU012,34,31789.66,934.99,0,Bedding,Bedsheet,20-09-2024,461.63,977.91,50,12,Winter,0,,125,927,17,681,720,180,1052,2.428571429,437.1428571,681,1118.142857,-595,66.14285714,0,5.915420979,0,Low,Low,Healthy,66,0,30467.58,0,0
12-12-2025,SKU013,14,87768.8,6269.2,0,Bedding,Pillow,25-12-2024,3850.2,6478.5,50,12,Winter,0,,314,0,14,254,268,67,314,2,134,254,388,46,74,46,19.07216495,17.1641791,Low,Low,Healthy,74,46,284914.8,177109.2,0
12-12-2025,SKU014,20,48337.8,2416.89,0,Bath,Bath Mat,16-09-2024,1168.82,2539.41,50,12,Winter,0,,541,0,11,293,400,100,541,1.571428571,157.1428571,293,450.1428571,141,-90.85714286,141,0,35.25,Low,Medium,Watch / Volatile,0,141,0,164803.62,0
12-12-2025,SKU015,16,72904.32,4556.52,0,Kitchen,Appliances,10-06-2024,2157.21,4603.47,50,12,Winter,0,,664,0,11,380,410,102.5,664,1.571428571,161.0714286,380,541.0714286,254,-122.9285714,254,0,61.95121951,Low,High,Markdown / Clear,0,254,0,547931.34,547931.34
12-12-2025,SKU016,21,17092.11,813.91,0,Bath,Shower Curtain,08-09-2024,512.57,816.42,50,12,Winter,0,,109,672,7,269,544,136,781,1,136,269,405,-435,-376,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU017,18,115294.5,6405.25,0,Lighting,Floor Lamp,22-02-2024,3057.73,6631.39,50,12,Winter,0,,320,0,12,318,397,99.25,320,1.714285714,170.1428571,318,488.1428571,-77,168.1428571,0,34.44541996,0,Medium,Low,Watch / Volatile,168,0,513698.64,0,0
12-12-2025,SKU018,15,36469.35,2431.29,0,Bedding,Comforter,10-02-2024,1692.49,2451.98,50,12,Winter,0,,293,0,12,264,321,80.25,293,1.714285714,137.5714286,264,401.5714286,-28,108.5714286,0,27.03664176,0,Medium,Low,Watch / Volatile,109,0,184481.41,0,0
12-12-2025,SKU019,8,46220.16,5777.52,0,Furniture,Shelf,09-01-2024,3929.55,5811.19,50,12,Winter,0,,133,255,19,205,160,40,388,2.714285714,108.5714286,205,313.5714286,-27,-74.42857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU020,6,42389.4,7064.9,0,Home Decor,Candle,21-03-2024,3643.31,7327.27,50,12,Winter,0,,190,0,6,77,110,27.5,190,0.857142857,23.57142857,77,100.5714286,80,-89.42857143,80,0,72.72727273,Low,High,Markdown / Clear,0,80,0,291464.8,291464.8
12-12-2025,SKU021,40,284568,7114.2,0,Home Decor,Wall Decor,18-08-2024,3360.06,7134.97,50,12,Winter,0,,986,0,11,618,908,227,986,1.571428571,356.7142857,618,974.7142857,78,-11.28571429,78,0,8.59030837,Low,Low,Healthy,0,78,0,262084.68,0
12-12-2025,SKU022,45,108637.2,2414.16,0,Furniture,Sofa,24-09-2024,1855.22,2517.91,50,12,Winter,0,,1127,0,7,417,864,216,1127,1,216,417,633,263,-494,263,0,30.43981481,Low,Medium,Watch / Volatile,0,263,0,487922.86,0
12-12-2025,SKU023,25,170372.25,6814.89,0,Bath,Storage,19-10-2024,3729.15,6987.69,50,12,Winter,0,,504,0,7,210,396,99,504,1,99,210,309,108,-195,108,0,27.27272727,Low,Medium,Watch / Volatile,0,108,0,402748.2,0
12-12-2025,SKU024,51,82264.53,1613.03,0,Home Decor,Candle,14-08-2024,862.09,1674.11,50,12,Winter,0,,296,1155,6,424,948,237,1451,0.857142857,203.1428571,424,627.1428571,-652,-823.8571429,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU025,31,66135.71,2133.41,0,Furniture,Chair,05-08-2024,1409.13,2156.62,50,12,Winter,0,,365,861,15,575,604,151,1226,2.142857143,323.5714286,575,898.5714286,-239,-327.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU026,25,73715.25,2948.61,0,Home Decor,Wall Decor,25-07-2024,2309.44,3055.11,50,12,Winter,0,,150,657,15,439,468,117,807,2.142857143,250.7142857,439,689.7142857,-318,-117.2857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU027,24,185881.68,7745.07,0,Lighting,Ceiling Light,03-03-2024,4510.09,7792.68,50,12,Winter,0,,142,668,7,268,459,114.75,810,1,114.75,268,382.75,-317,-427.25,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU028,8,13537.04,1692.13,0,Lighting,Pendant,09-08-2024,954.86,1760.74,50,12,Winter,0,,57,238,16,167,180,45,295,2.285714286,102.8571429,167,269.8571429,-123,-25.14285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU029,9,76629.15,8514.35,0,Home Decor,Wall Decor,05-02-2024,4731.41,8700.96,50,12,Winter,0,,269,0,15,166,141,35.25,269,2.142857143,75.53571429,166,241.5357143,128,-27.46428571,128,0,90.78014184,Low,High,Markdown / Clear,0,128,0,605620.48,605620.48
12-12-2025,SKU030,34,320040.3,9412.95,0,Home Decor,Vase,10-10-2024,4669.58,9466.68,50,12,Winter,0,,641,0,9,366,584,146,641,1.285714286,187.7142857,366,553.7142857,57,-87.28571429,57,0,9.760273973,Low,Low,Healthy,0,57,0,266166.06,0
12-12-2025,SKU031,24,83947.92,3497.83,0,Furniture,Chair,13-05-2024,2445.71,3660.24,50,12,Winter,0,,499,0,5,244,477,119.25,499,0.714285714,85.17857143,244,329.1785714,22,-169.8214286,22,0,4.612159329,Low,Low,Healthy,0,22,0,53805.62,0
12-12-2025,SKU032,12,30685.68,2557.14,0,Bedding,Pillow,26-11-2024,1824.42,2572.21,50,12,Winter,0,,130,374,16,263,316,79,504,2.285714286,180.5714286,263,443.5714286,-186,-60.42857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU033,41,48193.45,1175.45,0,Furniture,Shelf,08-07-2024,817.24,1230.06,50,12,Winter,0,,494,1144,9,535,932,233,1638,1.285714286,299.5714286,535,834.5714286,-438,-803.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU034,39,119405.13,3061.67,0,Bath,Towel,25-04-2024,1957.07,3081.02,50,12,Winter,0,,656,0,11,518,562,140.5,656,1.571428571,220.7857143,518,738.7857143,94,82.78571429,94,11.20564633,16.72597865,Low,Low,Healthy,83,94,162436.81,183964.58,0
12-12-2025,SKU035,6,28992.66,4832.11,0,Bath,Storage,16-05-2024,2578.7,4959.34,50,12,Winter,0,,98,270,20,225,175,43.75,368,2.857142857,125,225,350,-77,-18,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU036,53,394836.22,7449.74,0,Kitchen,Appliances,31-05-2024,4731.68,7527.55,50,12,Winter,0,,639,1128,12,639,743,185.75,1767,1.714285714,318.4285714,639,957.4285714,-104,-809.5714286,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU037,52,46137.52,887.26,0,Furniture,Sofa,22-04-2024,604.99,924.74,50,12,Winter,0,,1106,0,20,978,728,182,1106,2.857142857,520,978,1498,378,392,378,26.1682243,51.92307692,Medium,High,Watch / Volatile,392,378,237156.08,228686.22,0
12-12-2025,SKU038,53,219069.67,4133.39,0,Bedding,Pillow,21-10-2024,2637.07,4142.28,50,12,Winter,0,,523,1196,18,918,908,227,1719,2.571428571,583.7142857,918,1501.714286,-385,-217.2857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU039,8,26964.08,3370.51,0,Furniture,Sofa,21-03-2024,1553.87,3385.81,50,12,Winter,0,,217,0,6,77,100,25,217,0.857142857,21.42857143,77,98.42857143,117,-118.5714286,117,0,100,Low,High,Markdown / Clear,0,117,0,181802.79,181802.79
12-12-2025,SKU040,26,84962.8,3267.8,0,Bedding,Pillow,08-12-2024,1609.64,3408.31,50,12,Winter,0,,473,924,16,647,820,205,1397,2.285714286,468.5714286,647,1115.571429,-347,-281.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU041,25,118273.5,4730.94,0,Home Decor,Vase,09-05-2024,2795.39,4760.56,50,12,Winter,0,,266,724,6,266,517,129.25,990,0.857142857,110.7857143,266,376.7857143,-251,-613.2142857,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU042,31,205797.53,6638.63,0,Bath,Storage,03-09-2024,3459.04,6867.78,50,12,Winter,0,,308,892,12,506,684,171,1200,1.714285714,293.1428571,506,799.1428571,-376,-400.8571429,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU043,43,292348.4,6798.8,0,Home Decor,Wall Decor,11-09-2024,4074.76,7021.91,50,12,Winter,0,,253,1168,11,623,980,245,1421,1.571428571,385,623,1008,-727,-413,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU044,36,207240.48,5756.68,0,Kitchen,Storage,27-08-2024,4052.22,5817.55,50,12,Winter,0,,368,873,12,495,728,182,1241,1.714285714,312,495,807,-360,-434,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU045,34,224260.26,6595.89,0,Home Decor,Vase,14-12-2024,4334.29,6906.1,50,12,Winter,0,,183,1029,11,550,792,198,1212,1.571428571,311.1428571,550,861.1428571,-609,-350.8571429,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU046,29,114543.04,3949.76,0,Bedding,Blanket,11-12-2024,2706.84,4070.67,50,12,Winter,0,,406,1061,8,460,792,198,1467,1.142857143,226.2857143,460,686.2857143,-386,-780.7142857,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU047,35,195355.65,5581.59,0,Bedding,Bedsheet,07-05-2024,2733.43,5614.3,50,12,Winter,0,,781,0,8,447,723,180.75,781,1.142857143,206.5714286,447,653.5714286,58,-127.4285714,58,0,8.022130014,Low,Low,Healthy,0,58,0,158538.94,0
12-12-2025,SKU048,24,128652,5360.5,0,Home Decor,Decorative Item,30-05-2024,2844.81,5479.69,50,12,Winter,0,,273,598,12,339,396,99,871,1.714285714,169.7142857,339,508.7142857,-123,-362.2857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU049,16,132041.44,8252.59,0,Bedding,Comforter,11-12-2024,4916.19,8676.94,50,12,Winter,0,,180,384,9,180,260,65,564,1.285714286,83.57142857,180,263.5714286,-80,-300.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU050,21,175750.26,8369.06,0,Furniture,Table,30-10-2024,4837.47,8719.37,50,12,Winter,0,,197,567,14,360,444,111,764,2,222,360,582,-247,-182,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU051,42,124444.32,2962.96,0,Home Decor,Candle,09-01-2024,1610.7,3109.17,50,12,Winter,0,,918,0,15,726,716,179,918,2.142857143,383.5714286,726,1109.571429,202,191.5714286,202,17.26535342,28.2122905,Low,Medium,Watch / Volatile,192,202,309254.4,325361.4,0
12-12-2025,SKU052,13,58300.06,4484.62,0,Home Decor,Decorative Item,31-05-2024,2201.19,4620.28,50,12,Winter,0,,242,0,15,203,212,53,242,2.142857143,113.5714286,203,316.5714286,30,74.57142857,30,23.55595668,14.1509434,Low,Low,Healthy,75,30,165089.25,66035.7,0
12-12-2025,SKU053,24,53569.92,2232.08,0,Bedding,Blanket,22-04-2024,1059.65,2234.48,50,12,Winter,0,,399,0,7,276,416,104,399,1,104,276,380,-17,-19,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU054,14,59818.92,4272.78,0,Bedding,Pillow,14-08-2024,2049.73,4398.97,50,12,Winter,0,,253,0,13,238,284,71,253,1.857142857,131.8571429,238,369.8571429,-31,116.8571429,0,31.59521051,0,Medium,Low,Watch / Volatile,117,0,239818.41,0,0
12-12-2025,SKU055,32,138237.76,4319.93,0,Furniture,Chair,03-12-2024,2582.38,4399.3,50,12,Winter,0,,613,761,20,634,592,148,1374,2.857142857,422.8571429,634,1056.857143,21,-317.1428571,21,0,3.547297297,Low,Low,Healthy,0,21,0,54229.98,0
12-12-2025,SKU056,36,23337.36,648.26,0,Lighting,Table Lamp,09-06-2024,384.95,671.55,50,12,Winter,0,,676,0,10,530,629,157.25,676,1.428571429,224.6428571,530,754.6428571,47,78.64285714,47,10.42120208,7.47217806,Low,Low,Healthy,79,47,30411.05,18092.65,0
12-12-2025,SKU057,46,254838.16,5539.96,0,Bedding,Comforter,14-05-2024,3688.42,5817.58,50,12,Winter,0,,1068,0,7,431,682,170.5,1068,1,170.5,431,601.5,386,-466.5,386,0,56.59824047,Low,High,Markdown / Clear,0,386,0,1423730.12,1423730.12
12-12-2025,SKU058,11,34192.4,3108.4,0,Bedding,Blanket,22-01-2024,1446.75,3147.71,50,12,Winter,0,,30,399,18,307,257,64.25,429,2.571428571,165.2142857,307,472.2142857,-227,43.21428571,0,9.151414309,0,Low,Low,Healthy,43,0,62210.25,0,0
12-12-2025,SKU059,35,229649.35,6561.41,0,Lighting,Ceiling Light,20-09-2024,3266.35,6582.77,50,12,Winter,0,,1100,0,5,368,924,231,1100,0.714285714,165,368,533,176,-567,176,0,19.04761905,Low,Low,Healthy,0,176,0,574877.6,0
12-12-2025,SKU060,33,229548.66,6956.02,0,Bath,Towel,10-10-2024,3443.94,7155.65,50,12,Winter,0,,355,772,9,361,568,142,1127,1.285714286,182.5714286,361,543.5714286,-213,-583.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU061,22,47035.56,2137.98,0,Bedding,Bedsheet,30-10-2024,1619.63,2140.96,50,12,Winter,0,,495,0,13,312,392,98,495,1.857142857,182,312,494,103,-1,103,0,26.2755102,Low,Medium,Watch / Volatile,0,103,0,166821.89,0
12-12-2025,SKU062,41,351287.59,8567.99,0,Furniture,Sofa,17-01-2024,4974.39,8570.63,50,12,Winter,0,,400,0,6,328,580,145,400,0.857142857,124.2857143,328,452.2857143,-180,52.28571429,0,11.56032849,0,Low,Low,Healthy,52,0,258668.28,0,0
12-12-2025,SKU063,26,68036.54,2616.79,0,Bath,Towel,06-01-2024,2039.75,2680.05,50,12,Winter,0,,186,656,10,329,432,108,842,1.428571429,154.2857143,329,483.2857143,-246,-358.7142857,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU064,20,202298.6,10114.93,0,Lighting,Table Lamp,28-10-2024,4843.28,10496.64,50,12,Winter,0,,575,0,9,257,468,117,575,1.285714286,150.4285714,257,407.4285714,107,-167.5714286,107,0,22.86324786,Low,Low,Healthy,0,107,0,518230.96,0
12-12-2025,SKU065,32,77771.52,2430.36,0,Furniture,Sofa,09-07-2024,1736.78,2556.23,50,12,Winter,0,,719,0,18,684,648,162,719,2.571428571,416.5714286,684,1100.571429,71,381.5714286,71,34.67030114,10.95679012,Medium,Low,Watch / Volatile,382,71,663449.96,123311.38,0
12-12-2025,SKU066,14,26487.44,1891.96,0,Furniture,Sofa,18-11-2024,1096.62,1975.15,50,12,Winter,0,,209,0,8,179,312,78,209,1.142857143,89.14285714,179,268.1428571,-103,59.14285714,0,22.0564731,0,Low,Low,Healthy,59,0,64700.58,0,0
12-12-2025,SKU067,19,75353.43,3965.97,0,Bath,Bath Mat,18-11-2024,2979.29,4133.64,50,12,Winter,0,,89,497,14,315,356,89,586,2,178,315,493,-267,-93,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU068,27,148827.78,5512.14,0,Bath,Shower Curtain,06-05-2024,2736.15,5717.56,50,12,Winter,0,,322,0,7,244,409,102.25,322,1,102.25,244,346.25,-87,24.25,0,7.003610108,0,Low,Low,Healthy,24,0,65667.6,0,0
12-12-2025,SKU069,16,99701.76,6231.36,0,Furniture,Sofa,25-10-2024,3631.88,6528.44,50,12,Winter,0,,67,417,17,306,360,90,484,2.428571429,218.5714286,306,524.5714286,-293,40.57142857,0,7.734204793,0,Low,Low,Healthy,41,0,148907.08,0,0
12-12-2025,SKU070,26,211432.52,8132.02,0,Kitchen,Dinnerware,26-01-2024,4107.53,8545.16,50,12,Winter,0,,326,0,8,250,358,89.5,326,1.142857143,102.2857143,250,352.2857143,-32,26.28571429,0,7.461476075,0,Low,Low,Healthy,26,0,106795.78,0,0
12-12-2025,SKU071,33,155946.12,4725.64,0,Lighting,Pendant,08-11-2024,3251.1,4794.87,50,12,Winter,0,,397,751,16,527,608,152,1148,2.285714286,347.4285714,527,874.4285714,-211,-273.5714286,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU072,40,278625.2,6965.63,0,Bath,Storage,21-05-2024,4483.03,7191.66,50,12,Winter,0,,763,929,20,774,638,159.5,1692,2.857142857,455.7142857,774,1229.714286,125,-462.2857143,125,0,19.59247649,Low,Low,Healthy,0,125,0,560378.75,0
12-12-2025,SKU073,36,154175.76,4282.66,0,Bedding,Pillow,17-11-2024,2360.83,4496.96,50,12,Winter,0,,816,0,9,447,716,179,816,1.285714286,230.1428571,447,677.1428571,100,-138.8571429,100,0,13.96648045,Low,Low,Healthy,0,100,0,236083,0
12-12-2025,SKU074,40,168931.6,4223.29,0,Home Decor,Wall Decor,04-07-2024,2850.43,4440.65,50,12,Winter,0,,656,0,7,406,848,212,656,1,212,406,618,-192,-38,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU075,34,65417.36,1924.04,0,Kitchen,Storage,07-12-2024,1476.18,1970.63,50,12,Winter,0,,152,932,10,467,736,184,1084,1.428571429,262.8571429,467,729.8571429,-584,-354.1428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU076,21,109782.33,5227.73,0,Bath,Shower Curtain,10-04-2024,2754.54,5489.78,50,12,Winter,0,,812,0,9,405,526,131.5,812,1.285714286,169.0714286,405,574.0714286,286,-237.9285714,286,0,54.37262357,Low,High,Markdown / Clear,0,286,0,787798.44,787798.44
12-12-2025,SKU077,14,69342,4953,0,Bedding,Comforter,05-01-2024,2449.15,5039.91,50,12,Winter,0,,90,400,17,294,273,68.25,490,2.428571429,165.75,294,459.75,-183,-30.25,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU078,19,94371.67,4966.93,0,Bedding,Pillow,16-02-2024,3587.71,5110.76,50,12,Winter,0,,184,571,8,249,388,97,755,1.142857143,110.8571429,249,359.8571429,-204,-395.1428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU079,27,127120.32,4708.16,0,Lighting,Floor Lamp,03-05-2024,3658.6,4891.4,50,12,Winter,0,,255,652,12,370,380,95,907,1.714285714,162.8571429,370,532.8571429,-125,-374.1428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU080,7,5907.02,843.86,0,Home Decor,Decorative Item,27-02-2024,668.74,884.62,50,12,Winter,0,,100,238,12,135,162,40.5,338,1.714285714,69.42857143,135,204.4285714,-62,-133.5714286,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU081,29,127735.43,4404.67,0,Lighting,Floor Lamp,05-10-2024,2313.08,4440.3,50,12,Winter,0,,240,705,17,518,600,150,945,2.428571429,364.2857143,518,882.2857143,-360,-62.71428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU082,21,33141.57,1578.17,0,Furniture,Table,01-05-2024,1035.25,1578.98,50,12,Winter,0,,366,0,5,204,374,93.5,366,0.714285714,66.78571429,204,270.7857143,-8,-95.21428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU083,37,91112.5,2462.5,0,Bath,Bath Mat,17-02-2024,1159.47,2482.6,50,12,Winter,0,,891,0,20,828,701,175.25,891,2.857142857,500.7142857,828,1328.714286,190,437.7142857,190,32.94269433,27.10413695,Medium,Medium,Watch / Volatile,438,190,507847.86,220299.3,0
12-12-2025,SKU084,46,306234.88,6657.28,0,Furniture,Sofa,07-07-2024,3768.12,6778.54,50,12,Winter,0,,138,1177,13,707,988,247,1315,1.857142857,458.7142857,707,1165.714286,-850,-149.2857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU085,34,31439.8,924.7,0,Bath,Towel,03-09-2024,524.27,948.63,50,12,Winter,0,,743,0,5,246,608,152,743,0.714285714,108.5714286,246,354.5714286,135,-388.4285714,135,0,22.20394737,Low,Low,Healthy,0,135,0,70776.45,0
12-12-2025,SKU086,14,6907.04,493.36,0,Home Decor,Wall Decor,26-03-2024,367.65,516.35,50,12,Winter,0,,116,489,16,343,253,63.25,605,2.285714286,144.5714286,343,487.5714286,-137,-117.4285714,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU087,7,57467.97,8209.71,0,Lighting,Ceiling Light,03-04-2024,4320.66,8353.1,50,12,Winter,0,,213,0,11,105,98,24.5,213,1.571428571,38.5,105,143.5,115,-69.5,115,0,100,Low,High,Markdown / Clear,0,115,0,496875.9,496875.9
12-12-2025,SKU088,46,350157.06,7612.11,0,Bedding,Comforter,05-08-2024,3887.81,7877.56,50,12,Winter,0,,1183,0,14,711,900,225,1183,2,450,711,1161,283,-22,283,0,31.44444444,Low,Medium,Watch / Volatile,0,283,0,1100250.23,0
12-12-2025,SKU089,34,129461.12,3807.68,0,Bedding,Bedsheet,10-09-2024,2339.1,3879.76,50,12,Winter,0,,433,1116,7,447,892,223,1549,1,223,447,670,-459,-879,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU090,18,123258.24,6847.68,0,Kitchen,Storage,20-11-2024,4467.4,6856.58,50,12,Winter,0,,152,416,13,251,340,85,568,1.857142857,157.8571429,251,408.8571429,-188,-159.1428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU091,32,169196.16,5287.38,0,Kitchen,Storage,26-05-2024,2664.74,5518.25,50,12,Winter,0,,593,0,13,529,585,146.25,593,1.857142857,271.6071429,529,800.6071429,8,207.6071429,8,25.93121292,1.367521368,Medium,Low,Watch / Volatile,208,8,554265.92,21317.92,0
12-12-2025,SKU092,8,54828.4,6853.55,0,Lighting,Table Lamp,04-01-2024,3194.5,6866.59,50,12,Winter,0,,119,0,10,116,161,40.25,119,1.428571429,57.5,116,173.5,-42,54.5,0,31.41210375,0,Medium,Low,Watch / Volatile,54,0,172503,0,0
12-12-2025,SKU093,11,89727.66,8157.06,0,Kitchen,Cookware,08-06-2024,4719.08,8578.94,50,12,Winter,0,,268,325,20,272,192,48,593,2.857142857,137.1428571,272,409.1428571,76,-183.8571429,76,0,39.58333333,Low,Medium,Watch / Volatile,0,76,0,358650.08,0
12-12-2025,SKU094,17,72578.61,4269.33,0,Kitchen,Dinnerware,02-02-2024,2453.79,4394.87,50,12,Winter,0,,360,0,18,290,238,59.5,360,2.571428571,153,290,443,122,83,122,18.73589165,51.2605042,Low,High,Markdown / Clear,83,122,203664.57,299362.38,299362.38
12-12-2025,SKU095,14,106554.56,7611.04,0,Lighting,Pendant,18-11-2024,4156.01,7839.63,50,12,Winter,0,,84,460,19,368,356,89,544,2.714285714,241.5714286,368,609.5714286,-272,65.57142857,0,10.75697211,0,Low,Low,Healthy,66,0,274296.66,0,0
12-12-2025,SKU096,35,30433.55,869.53,0,Home Decor,Decorative Item,11-10-2024,626,870.58,50,12,Winter,0,,904,0,15,798,844,211,904,2.142857143,452.1428571,798,1250.142857,60,346.1428571,60,27.6882642,7.109004739,Medium,Low,Watch / Volatile,346,60,216596,37560,0
12-12-2025,SKU097,41,193422.42,4717.62,0,Kitchen,Cookware,29-08-2024,3510.13,4788.06,50,12,Winter,0,,140,882,9,412,700,175,1022,1.285714286,225,412,637,-560,-385,0,0,0,Low,Low,Healthy,0,0,0,0,0
